epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,181.156,0.51282,1.41365,0.66126,0.93355,0.94919,0.85787,0.94415,0.81724,0.8578,0.71757,0.75046,0.51591,0.56126,2.14816,0.8602,0.95482,0.000664132,0.000664132,0.000664132
2,343.964,0.52935,1.3865,0.45683,0.9403,0.96024,0.91045,0.97497,0.85827,0.93854,0.88404,0.92108,0.75634,0.48614,1.40948,0.44265,0.91918,0.00126492,0.00126492,0.00126492
3,505.572,0.51822,1.31849,0.43057,0.93434,0.98477,0.91389,0.98194,0.88827,0.92021,0.84742,0.88853,0.72344,0.44593,1.27838,0.45912,0.90538,0.00179972,0.00179972,0.00179972
4,666.783,0.4818,1.25791,0.39662,0.91914,0.96276,0.91848,0.9779,0.8993,0.93134,0.85304,0.90204,0.71573,0.40101,1.34351,0.40983,0.88909,0.001703,0.001703,0.001703
5,827.983,0.45101,1.18998,0.37161,0.90834,0.96986,0.93571,0.98609,0.91507,0.93676,0.88519,0.91476,0.75366,0.38623,1.19226,0.33106,0.85419,0.001604,0.001604,0.001604
6,989.108,0.42239,1.11774,0.34822,0.89838,0.9847,0.9607,0.99067,0.92856,0.95236,0.91803,0.94409,0.80237,0.34638,0.92515,0.29045,0.85195,0.001505,0.001505,0.001505
7,1150.35,0.40203,1.06412,0.33057,0.89253,0.92882,0.94948,0.97902,0.92515,0.92636,0.88749,0.93058,0.80118,0.34232,0.97352,0.32725,0.86018,0.001406,0.001406,0.001406
8,1311.54,0.38264,1.02776,0.31079,0.88386,0.95541,0.92423,0.97663,0.92611,0.91997,0.87105,0.91175,0.7409,0.30504,1.03592,0.3405,0.8355,0.001307,0.001307,0.001307
9,1472.73,0.36966,1.01963,0.30333,0.88073,0.97553,0.97245,0.99234,0.94394,0.95971,0.91619,0.95088,0.84165,0.2995,0.83866,0.25081,0.84183,0.001208,0.001208,0.001208
10,1633.99,0.35512,0.93614,0.29074,0.87288,0.98252,0.96822,0.99235,0.94836,0.95928,0.91951,0.95181,0.83303,0.28075,0.78999,0.24122,0.82781,0.001109,0.001109,0.001109
11,1819.94,0.32182,0.90504,0.26655,0.84953,0.96308,0.94604,0.98781,0.93661,0.95534,0.88424,0.9321,0.81315,0.29551,0.91383,0.27755,0.84114,0.00101,0.00101,0.00101
12,1978.13,0.30907,0.86637,0.25257,0.84383,0.98908,0.95982,0.99216,0.95894,0.95909,0.9151,0.96091,0.85564,0.26907,0.77997,0.24353,0.82421,0.000911,0.000911,0.000911
13,2136.5,0.2972,0.83907,0.2438,0.84022,0.9889,0.96785,0.99189,0.96083,0.96141,0.9403,0.9642,0.86956,0.24752,0.7276,0.22212,0.81058,0.000812,0.000812,0.000812
14,2294.81,0.28126,0.79021,0.2278,0.83426,0.99231,0.96326,0.99185,0.96396,0.95377,0.92373,0.96103,0.87415,0.25278,0.72872,0.21498,0.81591,0.000713,0.000713,0.000713
15,2453.12,0.2685,0.76403,0.22095,0.82808,0.99177,0.9687,0.99314,0.96564,0.96894,0.94145,0.96952,0.88317,0.23538,0.70142,0.20228,0.81018,0.000614,0.000614,0.000614
16,2611.43,0.26106,0.72896,0.20989,0.82343,0.98847,0.97359,0.99336,0.96571,0.97149,0.93685,0.97108,0.89076,0.22261,0.64659,0.19507,0.8048,0.000515,0.000515,0.000515
17,2769.65,0.24747,0.69568,0.20259,0.82407,0.99804,0.96556,0.99355,0.96722,0.97579,0.94374,0.97295,0.9002,0.22401,0.61654,0.18847,0.80202,0.000416,0.000416,0.000416
18,2927.89,0.23135,0.66605,0.19002,0.81791,0.99529,0.97115,0.99404,0.97232,0.97294,0.94936,0.97735,0.90587,0.21197,0.61973,0.17866,0.80184,0.000317,0.000317,0.000317
19,3086.06,0.22332,0.62115,0.18236,0.81261,0.99181,0.97372,0.99295,0.97154,0.96739,0.95357,0.97424,0.90496,0.19797,0.60011,0.16932,0.79521,0.000218,0.000218,0.000218
20,3246.93,0.21254,0.59604,0.17446,0.81214,0.99561,0.9713,0.9932,0.97246,0.97648,0.95316,0.97608,0.9044,0.19145,0.59655,0.16247,0.79529,0.000119,0.000119,0.000119
