epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,213.592,0.26561,0.70398,0.2167,0.84451,0.99519,0.9752,0.99322,0.96972,0.97211,0.9526,0.96794,0.89922,0.20828,0.56432,0.16851,0.79719,0.000664516,0.000664516,0.000664516
2,403.965,0.29797,0.78491,0.24234,0.85562,0.99463,0.97926,0.9944,0.96467,0.96249,0.94313,0.96449,0.85495,0.23279,0.67793,0.19684,0.80798,0.00126529,0.00126529,0.00126529
3,594.625,0.31307,0.81323,0.25347,0.86038,0.99514,0.97361,0.99271,0.96567,0.96399,0.94156,0.96833,0.88293,0.2411,0.68514,0.1999,0.81101,0.00180006,0.00180006,0.00180006
4,789.802,0.321,0.84703,0.25927,0.86153,0.99233,0.97565,0.99403,0.96332,0.96319,0.93685,0.96049,0.87536,0.24988,0.67265,0.20517,0.81399,0.001703,0.001703,0.001703
5,983.26,0.31017,0.82013,0.25148,0.8595,0.98092,0.96925,0.99032,0.95742,0.95739,0.94156,0.96387,0.87293,0.25221,0.67976,0.21337,0.81418,0.001604,0.001604,0.001604
6,1186.17,0.3101,0.8,0.25001,0.86001,0.98368,0.98775,0.99464,0.96672,0.97659,0.9437,0.96644,0.88943,0.23105,0.62809,0.18691,0.80508,0.001505,0.001505,0.001505
7,1385.24,0.29899,0.76964,0.24196,0.85378,0.97725,0.97644,0.99076,0.96046,0.96846,0.95287,0.9721,0.88457,0.23576,0.61503,0.19041,0.80632,0.001406,0.001406,0.001406
8,1584.01,0.29394,0.76051,0.23785,0.8528,0.98016,0.97779,0.99329,0.96327,0.95715,0.93874,0.95919,0.88026,0.22084,0.60265,0.1894,0.80552,0.001307,0.001307,0.001307
9,1784.26,0.28623,0.74937,0.23272,0.84875,0.98191,0.97208,0.99278,0.95808,0.95574,0.94251,0.9536,0.86098,0.22027,0.61222,0.19234,0.80345,0.001208,0.001208,0.001208
10,1978.66,0.28024,0.75484,0.22946,0.85042,0.99296,0.97738,0.99404,0.96705,0.96668,0.95287,0.9675,0.88701,0.20607,0.60912,0.17144,0.79704,0.001109,0.001109,0.001109
11,2204.12,0.24316,0.64982,0.19469,0.81923,0.9976,0.97549,0.99151,0.9673,0.9721,0.95232,0.97198,0.89461,0.22102,0.59711,0.18057,0.80136,0.00101,0.00101,0.00101
